tradingsymbol,name,exchange,instrument_token,exchange_token
GAYAHWS,GAYATRI HIGHWAYS,BSE,138635780,541546
RITES,RITES ,BSE,138638340,541556
FINEORG,FINE ORGANIC INDUSTRIES LIMITE,BSE,138638596,541557
VARROC,VARROC ENGINEERING ,BSE,138643972,541578
RAJNISH,RAJNISH WELLNESS ,BSE,138649860,541601
STRAEXPO,SOPHIA TRAEXPO ,BSE,138658052,541633
RAWEDGE,RAW EDGE INDUSTRIAL SOLUTIONS,BSE,138658308,541634
TCNSBRANDS,TCNS CLOTHING CO. ,BSE,138675204,541700
SUPERSHAKT,SUPERSHAKTI METALIKS ,BSE,138675460,541701
ASHNI,ASHNISHA INDUSTRIES ,BSE,138675716,541702
RACONTEUR,RACONTEUR GLOBAL RESOURCES LIM,BSE,138675972,541703
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY,BSE,138682628,541729
VIVANTA,VIVANTA INDUSTRIES ,BSE,138684164,541735
TINNATFL,TINNA TRADE ,BSE,138685700,541741
CREDITACC,CREDITACCESS GRAMEEN,BSE,138693124,541770
AMINTAN,AMIN TANNERY,BSE,138693380,541771
DEEP,DEEP POLYMERS ,BSE,138695172,541778
SMEL,SUNGOLD MEDIA AND ENTERTAINMEN,BSE,138700548,541799
NEXT50IETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,138703108,541809
ASRL,ADD-SHOP E-RETAIL ,BSE,138717444,541865
SPACEINCUBA,SPACE INCUBATRICS TECHNOLOGIES,BSE,138723844,541890
SGIL,SYNERGY GREEN INDUSTRIES LIMIT,BSE,138733828,541929
RANJEET,RANJEET MECHATRONICS ,BSE,138737924,541945
LIQUIDIETF,,BSE,138738180,541946
IRCON,IRCON INTERNATIONAL,BSE,138740740,541956
SKYGOLD,SKY GOLD,BSE,138743556,541967
SETFSN50,SBI MUTUAL FUND,BSE,138744836,541972
MACH,MAC HOTELS ,BSE,138745092,541973
MANORAMA,MANORAMA INDUSTRIES ,BSE,138745348,541974
INNOVATIVE,INNOVATIVE IDEALS AND SERVICES,BSE,138747652,541983
AAVAS,AAVAS FINANCIERS ,BSE,138748932,541988
GRSE,GARDEN REACH SHIPBUILDERS & EN,BSE,138754820,542011
AAL,A-1 ACID ,BSE,138755076,542012
DOLFIN,DOLFIN RUBBERS ,BSE,138755332,542013
SHUBHAM,SHUBHAM POLYSPIN ,BSE,138756868,542019
AKI,AKI INDIA ,BSE,138757124,542020
SUNRETAIL,SUN RETAIL ,BSE,138758404,542025
SMGOLD,S. M. GOLD ,BSE,138760708,542034
VIVIDM,VIVID MERCANTILE,BSE,138763780,542046
BCPL,BCPL RAILWAY INFRASTRUCTURE LI,BSE,138766596,542057
ATGL,ADANI TOTAL GAS,BSE,138768900,542066
PHOSPHATE,THE PHOSPHATE COMPANY ,BSE,138783492,542123
NIFTYETF,MIRAE ASSET MUTUAL FUND,BSE,138785540,542131
TECHNOE,TECHNO ELECTRIC & ENGINEERING,BSE,138788100,542141
RONI,RONI HOUSEHOLDS ,BSE,138789124,542145
SKIFL,SHREE KRISHNA INFRASTRUCTURE L,BSE,138789380,542146
DGL,DIKSHA GREENS ,BSE,138791684,542155
ARYAN,ARYAN SHARE & STOCK BROKERS LT,BSE,138797060,542176
NIVAKA,NIVAKA FASHIONS,BSE,138804740,542206
DALBHARAT,DALMIA BHARAT,BSE,138807300,542216
ABSLNN50ET,ADITYA BIRLA SUN LIFE MUTUAL F,BSE,138810884,542230
NILASPACES,NILA SPACES,BSE,138811140,542231
SRD,SHANKAR LAL RAMPAL DYE-CHEM LI,BSE,138811396,542232
TREJHARA,TREJHARA SOLUTIONS ,BSE,138811652,542233
DECCAN,DECCAN HEALTH CARE ,BSE,138815492,542248
AXITA,AXITA COTTON ,BSE,138824964,542285
KPIGREEN,KPI GREEN ENERGY ,BSE,138834692,542323
HIKLASS,HI-KLASS TRADING AND INVESTMEN,BSE,138836996,542332
RPSGVENT,RPSG VENTURES,BSE,138837252,542333
SPENCERS,SPENCER'S RETAIL ,BSE,138838276,542337
GLOSTERLTD,GLOSTER,BSE,138841860,542351
XELPMOC,XELPMOC DESIGN AND TECH LIMITE,BSE,138845956,542367
SPACAPS,SPA CAPITAL SERVICES ,BSE,138848260,542376
AARSHYAM,AAR SHYAM INDIA INVESTMENT COM,BSE,138848516,542377
RITCO,RITCO LOGISTICS ,BSE,138850052,542383
CHALET,CHALET HOTELS ,BSE,138854148,542399
ANMOL,ANMOL INDIA ,BSE,138863876,542437
JONJUA,JONJUA OVERSEAS ,BSE,138866180,542446
KRANTI,KRANTI INDUSTRIES ,BSE,138869508,542459
ANUP,THE ANUP ENGINEERING,BSE,138869764,542460
GLEAM,GLEAM FABMAT ,BSE,138874116,542477
ARVINDFASN,ARVIND FASHIONS ,BSE,138875908,542484
UTISXN50,UTI BSE  SENSEX NEXT 50 ETF,BSE,138883332,542513
AIHL,AMBASSADOR INTRA HOLDINGS LIMI,BSE,138886148,542524
IDFTP179RG,,BSE,138889220,542536
IDFTP179RP,,BSE,138889476,542537
IDFTP179DG,,BSE,138889988,542539
IDFTP179DH,,BSE,138890500,542541
INFRATRUST,INDIA INFRASTRUCTURE TRUST,BSE,138891012,542543
JYOTIN,JYOT INTERNATIONAL MARKETING L,BSE,138891268,542544
IPRU3315,,BSE,138893316,542552
IPRU3316,,BSE,138893572,542553
IPRU9517,,BSE,138894084,542555
AGOL,ASHAPURI GOLD ORNAMENT ,BSE,138900228,542579
AARTECH,AARTECH SOLONICS ,BSE,138900484,542580
HBEL,HUMMING BIRD EDUCATION ,BSE,138903556,542592
MSTCLTD,MSTC ,BSE,138904836,542597
ROOPSHRI,ROOPSHRI RESORTS ,BSE,138905348,542599
EMBASSY,EMBASSY OFFICE PARKS REIT,BSE,138906116,542602
CHANDNIMACH,CHANDNI MACHINES ,BSE,138912516,542627
NSL,NORTHERN SPIRITS ,BSE,138912772,542628
RVNL,RAIL VIKAS NIGAM ,BSE,138918148,542649
METROPOLIS,METROPOLIS HEALTHCARE ,BSE,138918404,542650
KPITTECH,KPIT TECHNOLOGIES,BSE,138918660,542651
POLYCAB,POLYCAB INDIA ,BSE,138918916,542652
VRFILMS,V R FILMS & STUDIOS,BSE,138919428,542654
VIKASLIFE,VIKAS LIFECARE,BSE,138919684,542655
NXLI8X,,BSE,138921220,542661
NXLI8Z,,BSE,138921476,542662
NXLI8D,,BSE,138921732,542663
NXLI8G,,BSE,138921988,542664
NEOGEN,NEOGEN CHEMICALS ,BSE,138922244,542665
GKP,G. K. P. PRINTING & PACKAGING,BSE,138922500,542666
WORL,WHITE ORGANIC RETAIL ,BSE,138922756,542667
EVANS,EVANS ELECTRIC,BSE,138923012,542668
BMW,BMW INDUSTRIES,BSE,138923268,542669
AEPL,ARTEMIS ELECTRICALS AND PROJEC,BSE,138923524,542670
MAHESH,MAHESH DEVELOPERS ,BSE,138925316,542677
CHCL,CIAN HEALTHCARE ,BSE,138925572,542678
DEL,DHANASHREE ELECTRONICS ,BSE,138925828,542679
HARISH,HARISH TEXTILE ENGINEERS LIMIT,BSE,138926596,542682
PPL,PRAKASH PIPES ,BSE,138927108,542684
DGCONTENT,DIGICONTENT ,BSE,138927364,542685
PARSHVA,PARSHVA ENTERPRISES ,BSE,138929668,542694
ARL,ANAND RAYONS ,BSE,138936580,542721
MURAE,MURAE ORGANISOR ,BSE,138937348,542724
SBC,SBC EXPORTS,BSE,138937604,542725
INDIAMART,INDIAMART INTERMESH ,BSE,138937860,542726
CPML,CITY PULSE MULTIPLEX ,BSE,138938116,542727
SKIEL,SK INTERNATIONAL EXPORT LIMITE,BSE,138938372,542728
DCMNVL,DCM NOUVELLE,BSE,138938628,542729
BANKIETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,138938884,542730
SNXT50BEES,NIPPON INDIA ETF SENSEX NEXT 5,BSE,138943236,542747
AFFLE,AFFLE (INDIA) ,BSE,138944516,542752
SEACOAST,SEACOAST SHIPPING SERVICES LIM,BSE,138944772,542753
PVTBANIETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,138946052,542758
SPANDANA,SPANDANA SPHOORTY FINANCIAL LI,BSE,138946308,542759
SWSOLAR,STERLING AND WILSON RENEWABLE,BSE,138946564,542760
TRANSPACT,TRANSPACT ENTERPRISES ,BSE,138947844,542765
ALPHALOGIC,ALPHALOGIC TECHSYS ,BSE,138949124,542770
NOVATEOR,NOVATEOR RESEARCH LABORATORIES,BSE,138949380,542771
360ONE,360 ONE WAM,BSE,138949636,542772
IIFLSEC,IIFL SECURITIES ,BSE,138949892,542773
MUFIN,MUFIN GREEN FINANCE,BSE,138950148,542774
MISQUITA,MISQUITA ENGINEERING ,BSE,138957060,542801
GALACTICO,GALACTICO CORPORATE SERVICES L,BSE,138957316,542802
VEL,VAXFAB ENTERPRISES ,BSE,138957572,542803
NIESSPJ,NIPPON INDIA MUTUAL FUND,BSE,138957828,542804
NIESSPI,NIPPON INDIA MUTUAL FUND,BSE,138958084,542805
NIESSPB,NIPPON INDIA MUTUAL FUND,BSE,138958340,542806
NIESSPO,NIPPON INDIA MUTUAL FUND,BSE,138958596,542807
NIESSPC,NIPPON INDIA MUTUAL FUND,BSE,138958852,542808
NIESSPP,NIPPON INDIA MUTUAL FUND,BSE,138959108,542809
NIESSPA,NIPPON INDIA MUTUAL FUND,BSE,138959364,542810
NIESSPG,NIPPON INDIA MUTUAL FUND,BSE,138959620,542811
FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITE,BSE,138959876,542812
NIEHSPA,NIPPON INDIA MUTUAL FUND,BSE,138960132,542813
NIEHSPB,NIPPON INDIA MUTUAL FUND,BSE,138960388,542814
NIEHSPC,NIPPON INDIA MUTUAL FUND,BSE,138960644,542815
NIEHSPF,NIPPON INDIA MUTUAL FUND,BSE,138960900,542816
NIEHSPI,NIPPON INDIA MUTUAL FUND,BSE,138961156,542817
NIEHSPK,NIPPON INDIA MUTUAL FUND,BSE,138961412,542818
NIEHSPM,NIPPON INDIA MUTUAL FUND,BSE,138961668,542819
NIEHSPN,NIPPON INDIA MUTUAL FUND,BSE,138961924,542820
IRCTC,INDIAN RAILWAY CATERING AND TO,BSE,138964484,542830
NIESSPD,NIPPON INDIA MUTUAL FUND,BSE,138966020,542836
NIESSPE,NIPPON INDIA MUTUAL FUND,BSE,138966276,542837
NIESSPF,NIPPON INDIA MUTUAL FUND,BSE,138966532,542838
NIEHSPD,NIPPON INDIA MUTUAL FUND,BSE,138966788,542839
NIESSPH,NIPPON INDIA MUTUAL FUND,BSE,138967044,542840
NIEHSPE,NIPPON INDIA MUTUAL FUND,BSE,138967300,542841
NIESSPK,NIPPON INDIA MUTUAL FUND,BSE,138967556,542842
NIEHSPG,NIPPON INDIA MUTUAL FUND,BSE,138967812,542843
NIEHSPH,NIPPON INDIA MUTUAL FUND,BSE,138968068,542844
NIEHSPJ,NIPPON INDIA MUTUAL FUND,BSE,138968324,542845
NIEHSPL,NIPPON INDIA MUTUAL FUND,BSE,138968580,542846
NIESSPL,NIPPON INDIA MUTUAL FUND,BSE,138968836,542847
NIESSPM,NIPPON INDIA MUTUAL FUND,BSE,138969092,542848
NIESSPN,NIPPON INDIA MUTUAL FUND,BSE,138969348,542849
GOBLIN,GOBLIN INDIA,BSE,138969604,542850
GENSOL,GENSOL ENGINEERING ,BSE,138969860,542851
VISHWARAJ,VISHWARAJ SUGAR INDUSTRIES LIM,BSE,138970116,542852
GREENPANEL,GREENPANEL INDUSTRIES ,BSE,138971396,542857
SHAHLON,SHAHLON SILK INDUSTRIES LIMITE,BSE,138972676,542862
ABSLBANETF,ADITYA BIRLA SUN LIFE MUTUAL F,BSE,138972932,542863
MOUNT,MOUNT HOUSING AND INFRASTRUCTU,BSE,138973188,542864
ANUROOP,ANUROOP PACKAGING ,BSE,138973444,542865
COLABCLOUD,COLAB CLOUD PLATFORMS,BSE,138973700,542866
CSBBANK,CSB BANK ,BSE,138973956,542867
UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIM,BSE,138983428,542904
HINDWAREAP,HINDWARE HOME INNOVATION LIMIT,BSE,138983684,542905
EASUN,EASUN CAPITAL MARKETS ,BSE,138983940,542906
PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMI,BSE,138984196,542907
EBBETF0430,,BSE,138984708,542909
VALENCIA,VALENCIA NUTRITION ,BSE,138984964,542910
ASSAMENT,ASSAM ENTRADE ,BSE,138985220,542911
GIANLIFE,GIAN LIFE CARE ,BSE,138987012,542918
ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMI,BSE,138987268,542919
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITE,BSE,138987524,542920
MIDCAPIETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,138987780,542921
NEXT50,MIRAE ASSET MUTUAL FUND,BSE,138988036,542922
TRANWAY,TRANWAY TECHNOLOGIES ,BSE,138988292,542923
JANUSCORP,JANUS CORPORATION ,BSE,138988548,542924
VARDHANCFL,VARDHAN CAPITAL & FINANCE LIMI,BSE,138990340,542931
UNIVPHOTO,UNIVERSUS PHOTO IMAGINGS LIMIT,BSE,138990852,542933
CBPL,CHANDRA BHAGAT PHARMA ,BSE,138991108,542934
ICLORGANIC,ICL ORGANIC DAIRY PRODUCTS LIM,BSE,138991364,542935
OCTAVIUSPL,OCTAVIUS PLANTATIONS ,BSE,138992132,542938
SUVENPHAR,SUVEN PHARMACEUTICALS,BSE,139024388,543064
SMAUTO,SM AUTO STAMPING ,BSE,139024644,543065
SBICARD,SBI CARDS AND PAYMENT SERVICES,BSE,139024900,543066
07AGG,,BSE,139026180,543071
07BPB,,BSE,139026436,543072
07DPD,,BSE,139026692,543073
07DPR,,BSE,139026948,543074
07QPD,,BSE,139027204,543075
07ABB,,BSE,139027460,543076
07QPR,,BSE,139027716,543077
07ADD,,BSE,139027972,543078
07GPG,,BSE,139028228,543079
07ADR,,BSE,139028484,543080
07AQD,,BSE,139028740,543081
07AQR,,BSE,139028996,543082
09MPD,,BSE,139029252,543083
09MPR,,BSE,139029508,543084
09QPD,,BSE,139029764,543085
09QPR,,BSE,139030020,543086
09AGG,,BSE,139030276,543087
09AMD,,BSE,139030532,543088
09AMR,,BSE,139030788,543089
09AQD,,BSE,139031044,543090
09AQR,,BSE,139031300,543091
09GPG,,BSE,139031556,543092
UTCRFS2DQP,,BSE,139032836,543097
UTCRFS2DQR,,BSE,139033092,543098
UTCRFS2DGR,,BSE,139033348,543099
UTCRFS2DAP,,BSE,139033604,543100
UTCRFS2DAR,,BSE,139033860,543101
UTCRFS2DHP,,BSE,139034116,543102
UTCRFS2DHR,,BSE,139034372,543103
UTCRFS2DFP,,BSE,139034628,543104
UTCRFS2DFR,,BSE,139034884,543105
UTCRFS2DMP,,BSE,139035140,543106
UTCRFS2DMR,,BSE,139035396,543107
UTCRFS2RQP,,BSE,139035652,543108
UTCRFS2RQR,,BSE,139035908,543109
UTCRFS2RGR,,BSE,139036164,543110
UTCRFS2RAP,,BSE,139036420,543111
UTCRFS2RAR,,BSE,139036676,543112
UTCRFS2RHP,,BSE,139036932,543113
UTCRFS2RHR,,BSE,139037188,543114
UTCRFS2RFP,,BSE,139037444,543115
UTCRFS2RFR,,BSE,139037700,543116
UTCRFS2RMP,,BSE,139037956,543117
UTCRFS2RMR,,BSE,139038212,543118
UTMTFS2DQP,,BSE,139038468,543119
UTMTFS2DQR,,BSE,139038724,543120
UTMTFS2DGR,,BSE,139038980,543121
UTMTFS2DAP,,BSE,139039236,543122
UTMTFS2DAR,,BSE,139039492,543123
UTMTFS2DHP,,BSE,139039748,543124
UTMTFS2DHR,,BSE,139040004,543125
UTMTFS2DFP,,BSE,139040260,543126
UTMTFS2DFR,,BSE,139040516,543127
UTMTFS2DMP,,BSE,139040772,543128
UTMTFS2DMR,,BSE,139041028,543129
UTMTFS2RQP,,BSE,139041284,543130
UTMTFS2RQR,,BSE,139041540,543131
UTMTFS2RGR,,BSE,139041796,543132
UTMTFS2RAP,,BSE,139042052,543133
UTMTFS2RAR,,BSE,139042308,543134
UTMTFS2RHP,,BSE,139042564,543135
UTMTFS2RHR,,BSE,139042820,543136
UTMTFS2RFP,,BSE,139043076,543137
UTMTFS2RFR,,BSE,139043332,543138
UTMTFS2RMP,,BSE,139043588,543139
UTMTFS2RMR,,BSE,139043844,543140
08MPD,NIPPON INDIA MUTUAL FUND,BSE,139044868,543144
08ADR,NIPPON INDIA MUTUAL FUND,BSE,139045124,543145
08MPR,NIPPON INDIA MUTUAL FUND,BSE,139045380,543146
08AMD,NIPPON INDIA MUTUAL FUND,BSE,139045636,543147
08AMR,NIPPON INDIA MUTUAL FUND,BSE,139045892,543148
08BPB,NIPPON INDIA MUTUAL FUND,BSE,139046148,543149
08GPG,NIPPON INDIA MUTUAL FUND,BSE,139046404,543150
08ABB,NIPPON INDIA MUTUAL FUND,BSE,139046660,543151
08QPD,NIPPON INDIA MUTUAL FUND,BSE,139046916,543152
08AGG,NIPPON INDIA MUTUAL FUND,BSE,139047172,543153
08QPR,NIPPON INDIA MUTUAL FUND,BSE,139047428,543154
08AQD,NIPPON INDIA MUTUAL FUND,BSE,139047684,543155
08DPD,NIPPON INDIA MUTUAL FUND,BSE,139047940,543156
10IGG,,BSE,139048196,543157
10DPD,,BSE,139048452,543158
10DPR,,BSE,139048708,543159
10DRD,,BSE,139048964,543160
10AGG,,BSE,139049220,543161
10DRR,,BSE,139049476,543162
10ADD,,BSE,139049732,543163
10ADR,,BSE,139049988,543164
10ARD,,BSE,139050244,543165
10ARR,,BSE,139050500,543166
10GPG,,BSE,139050756,543167
08AQR,NIPPON INDIA MUTUAL FUND,BSE,139051012,543168
08DPR,NIPPON INDIA MUTUAL FUND,BSE,139051268,543169
08ADD,NIPPON INDIA MUTUAL FUND,BSE,139051524,543170
ROJL,RO JEWELS ,BSE,139051780,543171
COSPOWER,COSPOWER ENGINEERING ,BSE,139052036,543172
11DPR,NIPPON INDIA MUTUAL FUND,BSE,139052292,543173
11GPG,NIPPON INDIA MUTUAL FUND,BSE,139052548,543174
11MPD,NIPPON INDIA MUTUAL FUND,BSE,139052804,543175
11MPR,NIPPON INDIA MUTUAL FUND,BSE,139053060,543176
11QPD,NIPPON INDIA MUTUAL FUND,BSE,139053316,543177
11QPR,NIPPON INDIA MUTUAL FUND,BSE,139053572,543178
11ADD,NIPPON INDIA MUTUAL FUND,BSE,139053828,543179
11ADR,NIPPON INDIA MUTUAL FUND,BSE,139054084,543180
11AGG,NIPPON INDIA MUTUAL FUND,BSE,139054340,543181
11AMD,NIPPON INDIA MUTUAL FUND,BSE,139054596,543182
11AMR,NIPPON INDIA MUTUAL FUND,BSE,139054852,543183
11AQD,NIPPON INDIA MUTUAL FUND,BSE,139055108,543184
11AQR,NIPPON INDIA MUTUAL FUND,BSE,139055364,543185
11DPD,NIPPON INDIA MUTUAL FUND,BSE,139055620,543186
POWERINDIA,HITACHI ENERGY INDIA,BSE,139055876,543187
DJML,DJ MEDIAPRINT & LOGISTICS LIMI,BSE,139057412,543193
NIRMITEE,NIRMITEE ROBOTICS INDIA LIMITE,BSE,139057668,543194
SFMP34GR,,BSE,139059972,543203
SFMP34DR,,BSE,139060228,543204
SFMP34GD,,BSE,139060484,543205
SFMP34DD,,BSE,139060740,543206
NATURAL,NATURAL BIOCON (INDIA) ,BSE,139060996,543207
REGIS,REGIS INDUSTRIES,BSE,139061252,543208
BILLWIN,BILLWIN INDUSTRIES ,BSE,139061508,543209
AARTISURF,AARTI SURFACTANTS ,BSE,139061764,543210
BONLON,BONLON INDUSTRIES,BSE,139062020,543211
BOROLTD,BOROSIL ,BSE,139062276,543212
ROSSARI,ROSSARI BIOTECH,BSE,139062532,543213
NDRAUTO,NDR AUTO COMPONENTS ,BSE,139062788,543214
EBBETF0425,,BSE,139063044,543215
EBBETF0431,,BSE,139063300,543216
MINDSPACE,MINDSPACE BUSINESS PARKS REIT,BSE,139063556,543217
SBGLP,SURATWWALA BUSINESS GROUP LIMI,BSE,139063812,543218
ALPL30IETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,139064068,543219
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMIT,BSE,139064324,543220
ITIETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,139064580,543221
MAXIND,MAX INDIA ,BSE,139065092,543223
HDFCNIFBAN,HDFC MUTUAL FUND,BSE,139065348,543224
DATAINFRA,DATA INFRASTRUCTURE TRUST,BSE,139065604,543225
UTIBANKETF,UTI MUTUAL FUND,BSE,139065860,543226
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LI,BSE,139066116,543227
ROUTE,ROUTE MOBILE ,BSE,139066372,543228
SAMRATFORG,SAMRAT FORGINGS ,BSE,139066628,543229
ADVAIT,ADVAIT INFRATECH ,BSE,139066884,543230
ADL,ARCHIDPLY DECOR ,BSE,139067140,543231
CAMS,COMPUTER AGE MANAGEMENT SERVIC,BSE,139067396,543232
CHEMCON,CHEMCON SPECIALITY CHEMICALS L,BSE,139067652,543233
SECMARK,SECMARK CONSULTANCY ,BSE,139067908,543234
ANGELONE,ANGEL ONE,BSE,139068164,543235
ATAM,ATAM VALVES ,BSE,139068420,543236
MAZDOCK,MAZAGON DOCK SHIPBUILDERS LIMI,BSE,139068676,543237
UTIAMC,UTI ASSET MANAGEMENT COMPANY L,BSE,139068932,543238
GMPL,G M POLYPLAST ,BSE,139069188,543239
LIKHITHA,LIKHITHA INFRASTRUCTURE LIMITE,BSE,139069444,543240
VGIL,VEER GLOBAL INFRACONSTRUCTION,BSE,139069700,543241
HEMIPROP,HEMISPHERE PROPERTIES INDIA LI,BSE,139069956,543242
EQUITASBNK,EQUITAS SMALL FINANCE BANK LIM,BSE,139070212,543243
SHINEFASH,SHINE FASHIONS (INDIA) ,BSE,139070468,543244
GLAND,GLAND PHARMA ,BSE,139070724,543245
ESG,MIRAE ASSET MUTUAL FUND,BSE,139070980,543246
NETPIX,NET PIX SHORTS DIGITAL MEDIA L,BSE,139071236,543247
RBA,RESTAURANT BRANDS ASIA ,BSE,139071492,543248
TARC,TARC,BSE,139071748,543249
MOGSEC,,BSE,139072004,543250
RVHL,RAVINDER HEIGHTS ,BSE,139072260,543251
FAIRCHEMOR,FAIRCHEM ORGANICS ,BSE,139072516,543252
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES,BSE,139072772,543253
AWHCL,ANTONY WASTE HANDLING CELL LIM,BSE,139073028,543254
INFRABEES,NIPPON INDIA MUTUAL FUND,BSE,139073284,543255
RFLL,RITA FINANCE AND LEASING LIMIT,BSE,139073540,543256
IRFC,INDIAN RAILWAY FINANCE CORPORA,BSE,139073796,543257
INDIGOPNTS,INDIGO PAINTS ,BSE,139074052,543258
HOMEFIRST,HOME FIRST FINANCE COMPANY IND,BSE,139074308,543259
STOVEKRAFT,STOVE KRAFT,BSE,139074564,543260
BIRET,BROOKFIELD INDIA REAL ESTATE T,BSE,139074820,543261
MRP,MRP AGRO ,BSE,139075076,543262
SMCGLOBAL,SMC GLOBAL SECURITIES ,BSE,139075332,543263
NURECA,NURECA ,BSE,139075588,543264
RAILTEL,RAILTEL CORPORATION OF INDIA L,BSE,139075844,543265
HERANBA,HERANBA INDUSTRIES ,BSE,139076100,543266
DAVANGERE,DAVANGERE SUGAR COMPANY LIMITE,BSE,139076356,543267
DRCSYSTEMS,DRC SYSTEMS INDIA ,BSE,139076612,543268
ADJIA,ADJIA TECHNOLOGIES ,BSE,139076868,543269
MTARTECH,MTAR TECHNOLOGIES ,BSE,139077124,543270
JUBLINGREA,JUBILANT INGREVIA ,BSE,139077380,543271
EASEMYTRIP,EASY TRIP PLANNERS ,BSE,139077636,543272
KMEW,KNOWLEDGE MARINE & ENGINEERING,BSE,139077892,543273
SUUMAYA,SUUMAYA CORPORATION,BSE,139078148,543274
ANURAS,ANUPAM RASAYAN INDIA ,BSE,139078404,543275
CRAFTSMAN,CRAFTSMAN AUTOMATION ,BSE,139078660,543276
LXCHEM,LAXMI ORGANIC INDUSTRIES LIMIT,BSE,139078916,543277
KALYANKJIL,KALYAN JEWELLERS INDIA ,BSE,139079172,543278
SURYODAY,SURYODAY SMALL FINANCE BANK LI,BSE,139079428,543279
NAZARA,NAZARA TECHNOLOGIES ,BSE,139079684,543280
SUVIDHAA,SUVIDHAA INFOSERVE ,BSE,139079940,543281
NIKSTECH,NIKS TECHNOLOGY ,BSE,139080196,543282
BARBEQUE,BARBEQUE-NATION HOSPITALITY LI,BSE,139080452,543283
EKI,EKI ENERGY SERVICES ,BSE,139080708,543284
RCAN,RAJESHWARI CANS ,BSE,139080964,543285
JETMALL,JETMALL SPICES AND MASALA LIMI,BSE,139081220,543286
LODHA,MACROTECH DEVELOPERS ,BSE,139081476,543287
DEEPINDS,DEEP INDUSTRIES ,BSE,139081732,543288
KGES,KUBERAN GLOBAL EDU SOLUTIONS L,BSE,139081988,543289
PGINVIT,POWERGRID INFRASTRUCTURE INVES,BSE,139082244,543290
MAFANG,MIRAE ASSET MUTUAL FUND,BSE,139082500,543291
HEALTHIETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,139082756,543292
SFMP44GR,,BSE,139083012,543293
SFMP44DR,,BSE,139083268,543294
SFMP44GD,,BSE,139083524,543295
SFMP44DD,,BSE,139083780,543296
IWEL,INOX WIND ENERGY ,BSE,139084036,543297
VINEETLAB,VINEET LABORATORIES ,BSE,139084292,543298
SHYAMMETL,SHYAM METALICS AND ENERGY LIMI,BSE,139084548,543299
SONACOMS,SONA BLW PRECISION FORGINGS LI,BSE,139084804,543300
SFMP45GR,,BSE,139085060,543301
SFMP45DR,,BSE,139085316,543302
SFMP45GD,,BSE,139085572,543303
SFMP45DD,,BSE,139085828,543304
NAVODAYENT,NAVODAY ENTERPRISES ,BSE,139086084,543305
DODLA,DODLA DAIRY ,BSE,139086340,543306
KIMS,KRISHNA INSTITUTE OF MEDICAL S,BSE,139086852,543308
ADESHWAR,ADESHWAR MEDITEX ,BSE,139087108,543309
TIMESGREEN,TIMES GREEN ENERGY (INDIA) LIM,BSE,139087364,543310
IPL,INDIA PESTICIDES ,BSE,139087620,543311
FOCUS,FOCUS BUSINESS SOLUTION LIMITE,BSE,139087876,543312
SFMP46GR,,BSE,139088132,543313
SFMP46DR,,BSE,139088388,543314
SFMP46GD,,BSE,139088644,543315
SFMP46DD,,BSE,139088900,543316
GRINFRA,G R INFRAPROJECTS ,BSE,139089156,543317
CLEAN,CLEAN SCIENCE AND TECHNOLOGY L,BSE,139089412,543318
AAPLUSTRAD,AA PLUS TRADELINK ,BSE,139089668,543319
ZOMATO,ZOMATO ,BSE,139089924,543320
TATVA,TATVA CHINTAN PHARMA CHEM LIMI,BSE,139090180,543321
GLS,GLENMARK LIFE SCIENCES ,BSE,139090436,543322
BFSI,MIRAE ASSET MUTUAL FUND,BSE,139090692,543323
GCSL,GRETEX CORPORATE SERVICES LIMI,BSE,139090948,543324
ROLEXRINGS,ROLEX RINGS ,BSE,139091204,543325
FMCGIETF,ICICI PRUDENTIAL MUTUAL FUND,BSE,139091460,543326
EXXARO,EXXARO TILES ,BSE,139091716,543327
KRSNAA,KRSNAA DIAGNOSTICS ,BSE,139091972,543328
WINDLAS,WINDLAS BIOTECH ,BSE,139092228,543329
DEVYANI,DEVYANI INTERNATIONAL ,BSE,139092484,543330
MOL,MEGHMANI ORGANICS ,BSE,139092740,543331
EPIGRAL,EPIGRAL ,BSE,139092996,543332
CARTRADE,CARTRADE TECH ,BSE,139093252,543333
NUVOCO,NUVOCO VISTAS CORPORATION LIMI,BSE,139093508,543334
APTUS,APTUS VALUE HOUSING FINANCE IN,BSE,139093764,543335
CHEMPLASTS,CHEMPLAST SANMAR ,BSE,139094020,543336
